track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_popularity,youtube_views,tiktok_views,airplay_spins,siriusxm_spins,pandora_streams,soundcloud_streams,shazam_counts,explicit_track
PUNTO G,Punto G,Quevedo,11/4/2022,BK4DA2202913,"1,096",45.8,"600,073,400",71.0,"171,936,153","450,971,538","15,719",50,"272,917","97,391","529,802",0
Yes Indeed,Yes Indeed,Lil Baby,5/15/2018,USUM71806749,"1,112",45.1,"1,110,994,645",74.0,"143,629,586","194,904,663","67,860",186,"425,125,110","54,088,502","3,561,319",1
Turn Down for What,Turn Down for What,DJ Snake,12/18/2013,USSM11308174,"1,116",45.0,"547,207,250",65.0,"1,350,062,601","1,943,093,911","23,064",113,"411,609,954","1,150,036","14,799,660",0
Run It Up (feat. Offset & Moneybagg Yo),Destined 2 Win,Lil Tjay,4/2/2021,USSM12101540,"1,127",44.8,"392,745,531",67.0,"96,203,913","137,477,748","1,558",3,"10,758,226","39,475,086","1,432,080",1
Lose You To Love Me,Lose You To Love Me,Selena Gomez,10/23/2019,USUM71918727,"1,123",44.8,"1,222,228,366",72.0,"569,150,755","519,924,812","220,765",169,"191,725,976","959,144","3,669,533",0
Worth It,Worth It,YK Osiris,2/8/2019,USUM71821752,"1,125",44.8,"340,112,388",60.0,"283,340,446","132,694,197","11,151",32,"171,927,306","103,378,626","1,660,493",0
Fight The Feeling,Fight The Feeling,Rod Wave,3/31/2023,USQX92301922,"1,128",44.8,"86,327,319",51.0,"65,828,097","137,960,911","100,880","1,989","34,839,558","12,848,106","567,245",1
Green Green Grass,george ezra songs to play when the sun's out,George Ezra,3/22/2022,GBARL2200008,"1,133",44.7,"300,430,813",69.0,"103,550,086","3,375,488,113","182,474",46,"1,947,849","2,041,978","2,071,865",0
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Highlights (Deluxe),The Weeknd,2/5/2021,USUG12303876,"1,142",44.5,"812,954,133",81.0,"66,369,681","797,041,217","78,013",7,"2,985,202","8,817,729","6,377,668",1
adore u,adore u,Fred again..,8/11/2023,GBAHS2300908,"1,141",44.5,"129,427,492",71.0,"10,933,079","135,983,684","43,488",3,"801,851","3,403,946","663,446",0
Loco Contigo (feat. J. Balvin & Tyga),"Loco Contigo (with J. Balvin, feat. Tyga)",DJ Snake,6/13/2019,USUG11901580,"1,144",44.4,"822,696,809",68.0,"587,804,570","404,031,807","98,937",124,"131,125,635","10,568,592","6,782,620",0
Payphone,Overexposed Track By Track,Maroon 5,1/1/2012,USUM71203347,"1,153",44.2,"1,828,026,153",78.0,"1,051,247,406","397,860,038","83,578",135,"667,632,597","20,102,563","11,327,684",1
On My Love,On My Love (Sped Up),Zara Larsson,9/12/2023,USSM12306769,"1,159",44.1,"128,024,416",7.0,"14,394,570","8,090,936","129,069",77,"1,333,245","1,668,042","934,544",0
SLOW DANCING IN THE DARK,SLOW DANCING IN THE DARK,Joji,9/12/2018,ZZOPM1800452,"1,167",43.9,"1,291,244,134",29.0,"576,756,813","1,853,292,133","1,059",116,"18,782,933","3,484,302","1,785,813",1
Religiously,Religiously,Bailey Zimmerman,3/17/2023,USWB12300537,"1,178",43.7,"225,556,005",73.0,"23,904,394","56,949,752","154,327",117,"92,243,007","2,899,190","594,487",0
What Happened To Virgil (feat. Gunna),7220,Lil Durk,3/11/2022,USQX92200954,"1,179",43.7,"144,889,291",59.0,"98,375,891","515,213,856","131,447",726,"20,715,332","27,110,567","1,047,166",1
Gatita,Gatita,Bellakath,10/5/2022,QZPLR2286558,"1,184",43.6,"218,661,601",57.0,"173,995,566","2,353,588,008","13,477",600,"4,469,095","38,842","873,692",0
Wolves,Wolves,Selena Gomez,10/25/2017,USUM71712103,"1,200",43.3,"1,358,424,406",71.0,"930,929,767","253,791,542","104,652",14,"172,588,260","17,138,164","7,290,982",0
Scars To Your Beautiful,Know-It-All,Alessia Cara,11/13/2015,USUM71506811,"1,201",43.2,"1,422,563,654",71.0,"710,718,042","736,544,909","171,774",288,"462,206,026","19,565,726","113,684",0
Surface Pressure,Encanto (Original Motion Picture Soundtrack),Jessica Darrow,11/19/2021,USWD12112914,"1,204",43.2,"318,018,082",65.0,"580,242,930","1,100,134,488","2,041",155,"49,383,663","2,375,505","466,130",0
EARFQUAKE,IGOR,"Tyler, The Creator",5/17/2019,USQX91901111,"1,207",43.1,"962,546,385",76.0,"262,134,097","247,993,418","1,834",1,"10,998,403","47,720,548","1,242,490",1
My Oh My (feat. DaBaby),Romance,Camila Cabello,12/6/2019,USSM11914257,"1,218",42.9,"703,865,912",68.0,"344,504,691","2,298,790,080","243,345",170,"136,780,685","16,327,957","3,703,911",0
Numb,Numb,Marshmello,6/10/2022,USRC12202117,"1,219",42.9,"401,066,217",69.0,"54,641,192","172,191","196,397","2,585","68,018,763","1,226,486","2,292,241",0
ALL MINE,WASTELAND,Brent Faiyaz,7/8/2022,QM24S2203185,"1,232",42.7,"315,014,005",71.0,"77,564,375","366,123,920","101,865",21,"21,452,340","13,608,463","1,112,722",1
The Night We Met,The Night We Met,Lord Huron,2/9/2015,US53Q1200103,"1,226",42.7,"2,097,181,065",84.0,"807,672,690","1,722,597,041","11,224",43,"288,302,729","2,601,964","8,832,956",0
Playa Del Inglï¿½,Playa Del Inglï¿½ï¿½s - Si,Quevedo,12/15/2022,ES5152201707,"1,227",42.7,"347,558,532",67.0,"151,166,424","323,188,246","18,093",9,"503,289","90,739","687,719",0
Talk,Talk,Yeat,9/2/2022,USUM72216448,"1,229",42.7,"242,057,987",67.0,"39,581,789","109,453,452",127,7,"1,216,305","21,272,944","999,699",1
